,词语,词性种类,词义数,词义序号,情感分类,强度,极性,辅助情感分类,强度.1,极性.1,Unnamed: 10,Unnamed: 11
10283,洁莹,adj,1.0,1.0,PH,5,1,PD,1.0,1.0,,
10285,畅销,adj,1.0,1.0,PA,5,0,PH,1.0,1.0,,
10286,狡诈,adj,1.0,1.0,NN,5,2,ND,3.0,2.0,,
10287,难吃,adj,1.0,1.0,NN,5,2,ND,3.0,2.0,,
10288,厌倦,adj,1.0,1.0,NE,5,2,ND,3.0,2.0,,
10289,专权,adj,1.0,1.0,NN,5,2,ND,3.0,2.0,,
10290,苦命,adj,1.0,1.0,NB,5,0,NJ,3.0,2.0,,
10291,要命,adj,1.0,1.0,NE,5,2,NN,3.0,2.0,,
10292,昌隆,adj,1.0,1.0,PH,5,1,PA,3.0,1.0,,
10293,都雅,adj,1.0,1.0,PH,5,1,PB,3.0,1.0,,
10294,舒爽,adj,1.0,1.0,PH,5,1,PB,3.0,1.0,,
10295,投缘,adj,1.0,1.0,PH,5,1,PB,3.0,1.0,,
10296,楚楚,adj,1.0,1.0,PB,5,1,PH,3.0,1.0,,
10297,对路,adj,1.0,1.0,PB,5,1,PH,3.0,1.0,,
10298,爽亮,adj,1.0,1.0,PA,5,0,PH,3.0,1.0,,
10299,媚俗,adj,1.0,1.0,NN,5,2,ND,7.0,2.0,,
10300,哀悯,adj,1.0,1.0,NB,5,2,,,,,
10301,霸道,adj,1.0,1.0,NN,5,2,,,,,
10302,笔挺,adj,1.0,1.0,PH,5,1,,,,,
10303,博达,adj,1.0,1.0,PH,5,1,,,,,
10304,不愧,adj,1.0,1.0,PH,5,1,,,,,
10305,惨厉,adj,1.0,1.0,NC,5,0,,,,,
10306,吃香,adj,1.0,1.0,PH,5,0,,,,,
10307,痴呆呆,adj,1.0,1.0,NN,5,0,,,,,
10308,赤诚,adj,1.0,1.0,PH,5,1,,,,,
10309,出口不凡,adj,1.0,1.0,PH,5,1,,,,,
10310,怆然,adj,1.0,1.0,NE,5,0,,,,,
10311,纯谨,adj,1.0,1.0,PH,5,1,,,,,
10312,纯情,adj,1.0,1.0,PH,5,1,,,,,
10313,淳化,adj,1.0,1.0,PH,5,1,,,,,
10314,慈眉善目,adj,1.0,1.0,PH,5,1,,,,,
10315,聪睿,adj,1.0,1.0,PH,5,1,,,,,
10316,聪颖,adj,1.0,1.0,PH,5,1,,,,,
10317,得体,adj,1.0,1.0,PH,5,1,,,,,
10318,得意,adj,1.0,1.0,PA,5,1,,,,,
10319,低能,adj,1.0,1.0,NN,5,2,,,,,
10320,顶用,adj,1.0,1.0,PH,5,1,,,,,
10321,懂事,adj,1.0,1.0,PH,5,1,,,,,
10322,发怵,adj,1.0,1.0,NI,5,2,,,,,
10323,犯难,adj,1.0,1.0,NE,5,2,,,,,
10324,非分,adj,1.0,1.0,NN,5,2,,,,,
10325,悱恻,adj,1.0,1.0,NB,5,2,,,,,
10326,丰赡,adj,1.0,1.0,PH,5,1,,,,,
10327,怫然,adj,1.0,1.0,,5,2,,,,,
10328,负责,adj,1.0,1.0,PH,5,1,,,,,
10329,富裕,adj,1.0,1.0,PH,5,1,,,,,
10330,干瘪,adj,1.0,1.0,NN,5,2,,,,,
10331,干净,adj,1.0,1.0,PH,5,1,,,,,
10332,干练,adj,1.0,1.0,PH,5,1,,,,,
10333,甘甜,adj,1.0,1.0,PB,5,1,,,,,
10334,敢作敢为,adj,1.0,1.0,PH,5,1,,,,,
10335,刚正,adj,1.0,1.0,PH,5,1,,,,,
10336,高洁,adj,1.0,1.0,PH,5,1,,,,,
10337,公而忘私,adj,1.0,1.0,PH,5,1,,,,,
10338,公平,adj,1.0,1.0,PH,5,1,,,,,
10339,恭敬,adj,1.0,1.0,PD,5,1,,,,,
10340,够本,adj,1.0,1.0,PE,5,0,,,,,
10341,诡秘,adj,1.0,1.0,NC,5,2,,,,,
10342,裹足不前,adj,1.0,1.0,NN,5,2,,,,,
10343,过人,adj,1.0,1.0,PH,5,1,,,,,
10344,涵蓄,adj,1.0,1.0,PH,5,1,,,,,
10346,欢庆,adj,1.0,1.0,PA,5,1,,,,,
10347,欢悦,adj,1.0,1.0,PA,5,1,,,,,
10348,灰心丧气,adj,1.0,1.0,NJ,5,0,,,,,
10349,昏乱,adj,1.0,1.0,NN,5,2,,,,,
10350,机敏,adj,1.0,1.0,PH,5,1,,,,,
10351,激昂,adj,1.0,1.0,PA,5,1,,,,,
10352,济济一堂,adj,1.0,1.0,PA,5,1,,,,,
10353,假惺惺,adj,1.0,1.0,NN,5,2,,,,,
10354,兼优,adj,1.0,1.0,PH,5,1,,,,,
10355,俭朴,adj,1.0,1.0,PH,5,1,,,,,
10356,娇生惯养,adj,1.0,1.0,NN,5,2,,,,,
10357,骄人,adj,1.0,1.0,PH,5,1,,,,,
10358,尽心,adj,1.0,1.0,PH,5,1,,,,,
10359,惊怪,adj,1.0,1.0,PC,5,0,,,,,
10360,精彩纷呈,adj,1.0,1.0,PH,5,1,,,,,
10361,精美,adj,1.0,1.0,PH,5,1,,,,,
10362,精奇,adj,1.0,1.0,PH,5,1,,,,,
10363,精锐,adj,1.0,1.0,PH,5,1,,,,,
10365,精心,adj,1.0,1.0,PH,5,1,,,,,
10366,隽永,adj,1.0,1.0,PH,5,1,,,,,
10367,可贵,adj,1.0,1.0,PH,5,1,,,,,
10368,空前,adj,1.0,1.0,PH,5,1,,,,,
10369,抠门儿,adj,1.0,1.0,NN,5,2,,,,,
10370,抠搜,adj,1.0,1.0,NN,5,2,,,,,
10371,口是心非,adj,1.0,1.0,NN,5,2,,,,,
10372,快捷,adj,1.0,1.0,PH,5,1,,,,,
10373,快乐,adj,1.0,1.0,PA,5,1,,,,,
10374,脍炙人口,adj,1.0,1.0,PH,5,1,,,,,
10375,老成持重,adj,1.0,1.0,PH,5,1,,,,,
10376,乐和,adj,1.0,1.0,PA,5,1,,,,,
10377,乐以忘忧,adj,1.0,1.0,PA,5,1,,,,,
10378,俚俗,adj,1.0,1.0,NN,5,2,,,,,
10379,历演不衰,adj,1.0,1.0,PH,5,1,,,,,
10380,厉声,adj,1.0,1.0,,5,0,,,,,
10381,率然,adj,1.0,1.0,NE,5,0,,,,,
10382,率直,adj,1.0,1.0,PH,5,1,,,,,
10383,啰啰嗦嗦,adj,1.0,1.0,NN,5,2,,,,,
10384,落落大方,adj,1.0,1.0,PH,5,1,,,,,
10385,冒昧,adj,1.0,1.0,NN,5,2,,,,,
10386,面貌一新,adj,1.0,1.0,PH,5,1,,,,,
10387,面无愧色,adj,1.0,1.0,PE,5,1,,,,,
10388,妙曼,adj,1.0,1.0,PH,5,1,,,,,
10389,腻人,adj,1.0,1.0,NN,5,2,,,,,
10390,努牙突嘴,adj,1.0,1.0,,5,2,,,,,
10391,贫嘴,adj,1.0,1.0,NN,5,2,,,,,
10392,破碎,adj,1.0,1.0,NB,5,0,,,,,
10393,气哼哼,adj,1.0,1.0,,5,0,,,,,
10394,恰当,adj,1.0,1.0,PH,5,1,,,,,
10395,浅陋,adj,1.0,1.0,NN,5,2,,,,,
10396,强健,adj,1.0,1.0,PH,5,1,,,,,
10397,惬意,adj,1.0,1.0,PA,5,1,,,,,
10398,亲热,adj,1.0,1.0,PB,5,1,,,,,
10399,勤奋,adj,1.0,1.0,PH,5,1,,,,,
10400,轻婉,adj,1.0,1.0,PH,5,1,,,,,
10401,清彻,adj,1.0,1.0,PH,5,1,,,,,
10402,晴美,adj,1.0,1.0,PH,5,1,,,,,
10403,穷乏,adj,1.0,1.0,NN,5,2,,,,,
10404,屈理,adj,1.0,1.0,NE,5,0,,,,,
10405,全新,adj,1.0,1.0,PH,5,1,,,,,
10406,热心肠,adj,1.0,1.0,PH,5,1,,,,,
10407,人和,adj,1.0,1.0,PH,5,1,,,,,
10408,仁慈,adj,1.0,1.0,PH,5,1,,,,,
10409,如花似锦,adj,1.0,1.0,PH,5,1,,,,,
10410,善良,adj,1.0,1.0,PH,5,1,,,,,
10411,神算,adj,1.0,1.0,PH,5,1,,,,,
10412,实意,adj,1.0,1.0,PH,5,1,,,,,
10414,始终不懈,adj,1.0,1.0,PH,5,1,,,,,
10415,所向无敌,adj,1.0,1.0,PH,5,1,,,,,
10416,堂皇,adj,1.0,1.0,PH,5,1,,,,,
10417,威风凛凛,adj,1.0,1.0,PH,5,1,,,,,
10418,伪善,adj,1.0,1.0,NN,5,2,,,,,
10419,温柔,adj,1.0,1.0,PH,5,1,,,,,
10420,沃衍,adj,1.0,1.0,PH,5,1,,,,,
10421,无稽,adj,1.0,1.0,NN,5,2,,,,,
10422,无私无畏,adj,1.0,1.0,PH,5,1,,,,,
10423,无懈可击,adj,1.0,1.0,PH,5,1,,,,,
10424,熙和,adj,1.0,1.0,PH,5,1,,,,,
10425,细腻,adj,1.0,1.0,PH,5,1,,,,,
10426,细匀,adj,1.0,1.0,PH,5,1,,,,,
10427,狎亵,adj,1.0,1.0,NN,5,2,,,,,
10428,鲜丽,adj,1.0,1.0,PB,5,1,,,,,
10429,闲逸,adj,1.0,1.0,PH,5,1,,,,,
10430,贤明,adj,1.0,1.0,PH,5,1,,,,,
10431,娴雅,adj,1.0,1.0,PH,5,1,,,,,
10432,相悦,adj,1.0,1.0,PB,5,1,,,,,
10433,孝顺,adj,1.0,1.0,PH,5,1,,,,,
10434,笑嘻嘻,adj,1.0,1.0,PA,5,1,,,,,
10435,邪曲,adj,1.0,1.0,NN,5,2,,,,,
10436,心狠,adj,1.0,1.0,NN,5,2,,,,,
10437,心劳日拙,adj,1.0,1.0,NE,5,2,,,,,
10438,心绪不宁,adj,1.0,1.0,NE,5,2,,,,,
10439,欣然,adj,1.0,1.0,PA,5,1,,,,,
10440,新兴,adj,1.0,1.0,PH,5,1,,,,,
10441,兴腾,adj,1.0,1.0,PH,5,1,,,,,
10442,雄壮,adj,1.0,1.0,PH,5,1,,,,,
10443,秀雅,adj,1.0,1.0,PH,5,1,,,,,
10444,虚诳,adj,1.0,1.0,NN,5,2,,,,,
10445,轩敞,adj,1.0,1.0,PH,5,1,,,,,
10446,勋章,adj,1.0,1.0,PH,5,1,,,,,
10447,驯良,adj,1.0,1.0,PH,5,1,,,,,
10448,雅静,adj,1.0,1.0,PH,5,1,,,,,
10449,妍丽,adj,1.0,1.0,PH,5,1,,,,,
10450,艳美,adj,1.0,1.0,PH,5,1,,,,,
10452,逸趣,adj,1.0,1.0,PH,5,1,,,,,
10453,毅然决然,adj,1.0,1.0,PH,5,1,,,,,
10454,盈盈,adj,1.0,1.0,PH,5,1,,,,,
10455,踊跃,adj,1.0,1.0,PH,5,1,,,,,
10456,优裕,adj,1.0,1.0,PH,5,1,,,,,
10457,优越,adj,1.0,1.0,PH,5,1,,,,,
10458,悠忽,adj,1.0,1.0,NN,5,0,,,,,
10459,油头滑脑,adj,1.0,1.0,NN,5,2,,,,,
10460,有成,adj,1.0,1.0,PH,5,1,,,,,
10461,有为,adj,1.0,1.0,PH,5,1,,,,,
10462,迂执,adj,1.0,1.0,NN,5,2,,,,,
10463,愉悦,adj,1.0,1.0,PA,5,1,,,,,
10464,玉宇,adj,1.0,1.0,PH,5,1,,,,,
10465,匀妥,adj,1.0,1.0,PH,5,1,,,,,
10466,赞羡,adj,1.0,1.0,PH,5,1,,,,,
10467,葬送,adj,1.0,1.0,NB,5,2,,,,,
10468,缜密,adj,1.0,1.0,PH,5,1,,,,,
10469,执性,adj,1.0,1.0,NN,5,2,,,,,
10470,直率,adj,1.0,1.0,PH,5,1,,,,,
10471,至上,adj,1.0,1.0,PD,5,1,,,,,
10472,质朴,adj,1.0,1.0,PH,5,1,,,,,
10473,忠勇,adj,1.0,1.0,PH,5,1,,,,,
10474,主动,adj,1.0,1.0,PH,5,0,,,,,
10475,专注,adj,1.0,1.0,PH,5,1,,,,,
10476,庄严,adj,1.0,1.0,PD,5,1,,,,,
10477,壮烈,adj,1.0,1.0,PH,5,1,,,,,
10478,自觉,adj,1.0,1.0,PH,5,1,,,,,
10479,自主,adj,1.0,1.0,PH,5,1,,,,,
10480,嘴尖,adj,1.0,1.0,NN,5,2,,,,,
10481,嘴快,adj,1.0,1.0,NN,5,2,,,,,
10483,公然,adv,1.0,1.0,NN,5,2,,,,,
10484,鸡毛蒜皮,idiom,1.0,1.0,NN,5,2,ND,1.0,2.0,,
10485,私心杂念,idiom,1.0,1.0,NN,5,2,ND,1.0,2.0,,
10486,槁木死灰,idiom,1.0,1.0,NB,5,0,NE,1.0,2.0,,
10487,谦虚谨慎,idiom,1.0,1.0,PH,5,1,,,,,
10489,聪明才智,idiom,1.0,1.0,PH,5,1,PB,1.0,1.0,,
10490,同舟共济,idiom,1.0,1.0,PH,5,1,PB,1.0,1.0,,
10491,衣不解带,idiom,1.0,1.0,PH,5,1,PB,1.0,1.0,,
10492,珍重,idiom,1.0,1.0,PK,5,0,PF,1.0,1.0,,
10493,别有天地,idiom,1.0,1.0,PB,5,1,PH,1.0,1.0,,
10494,逼不得已,idiom,1.0,1.0,NE,5,0,NB,3.0,2.0,,
10495,沧海遗珠,idiom,1.0,1.0,NJ,5,2,NB,3.0,2.0,,
10497,穷乡僻壤,idiom,1.0,1.0,NN,5,2,NB,3.0,2.0,,
10498,时不我与,idiom,1.0,1.0,NE,5,2,NB,3.0,2.0,,
10499,支离破碎,idiom,1.0,1.0,NN,5,2,NB,3.0,2.0,,
10500,与虎添翼,idiom,1.0,1.0,PH,5,1,NC,3.0,2.0,,
10501,鼓腹而游,idiom,1.0,1.0,NN,5,2,ND,3.0,2.0,,
10502,衮衮诸公,idiom,1.0,1.0,NN,5,2,ND,3.0,2.0,,
10504,面从腹诽,idiom,1.0,1.0,NN,5,2,ND,3.0,2.0,,
10505,是非口舌,idiom,1.0,1.0,NN,5,2,ND,3.0,2.0,,
10506,随风倒舵,idiom,1.0,1.0,NN,5,2,ND,3.0,2.0,,
10507,造言惑众,idiom,1.0,1.0,NN,5,2,ND,3.0,2.0,,
10508,孤鸿寡鹄,idiom,1.0,1.0,NB,5,0,NE,3.0,2.0,,
10509,节外生枝,idiom,1.0,1.0,NN,5,2,NE,3.0,2.0,,
10510,劳而无功,idiom,1.0,1.0,NN,5,2,NE,3.0,2.0,,
10511,贫病交迫,idiom,1.0,1.0,NB,5,2,NE,3.0,2.0,,
10512,妙手空空,idiom,1.0,1.0,NE,5,2,NG,3.0,2.0,,
10513,一步登天,idiom,1.0,1.0,PC,5,0,NI,3.0,2.0,,
10514,丢盔弃甲,idiom,1.0,1.0,NN,5,2,NJ,3.0,2.0,,
10515,赏罚不当,idiom,1.0,1.0,NN,5,2,NJ,3.0,2.0,,
10516,赏罚不信,idiom,1.0,1.0,NN,5,2,NJ,3.0,2.0,,
10517,察言观色,idiom,1.0,1.0,PH,5,3,NN,3.0,3.0,,
10518,丑态百出,idiom,1.0,1.0,ND,5,2,NN,3.0,2.0,,
10519,调三斡四,idiom,1.0,1.0,ND,5,2,NN,3.0,2.0,,
10520,暮气沉沉,idiom,1.0,1.0,NE,5,2,NN,3.0,2.0,,
10521,攀龙附凤,idiom,1.0,1.0,ND,5,2,NN,3.0,2.0,,
10522,向火乞儿,idiom,1.0,1.0,ND,5,2,NN,3.0,2.0,,
10523,胁肩低眉,idiom,1.0,1.0,ND,5,2,NN,3.0,2.0,,
10525,兵不血刃,idiom,1.0,1.0,PH,5,1,PA,3.0,1.0,,
10526,冰肌玉骨,idiom,1.0,1.0,PH,5,1,PB,3.0,1.0,,
10527,天上石麟,idiom,1.0,1.0,PH,5,1,PB,3.0,1.0,,
10528,出奇制胜,idiom,1.0,1.0,PH,5,1,PC,3.0,0.0,,
10529,以身殉职,idiom,1.0,1.0,PH,5,1,PD,3.0,1.0,,
10531,红花绿柳,idiom,1.0,1.0,PB,5,1,PH,3.0,1.0,,
10532,老少无欺,idiom,1.0,1.0,PG,5,1,PH,3.0,1.0,,
10533,令人钦佩,idiom,1.0,1.0,PD,5,1,PH,3.0,1.0,,
10534,谦谦君子,idiom,1.0,1.0,PD,5,1,PH,3.0,1.0,,
10535,手眼通天,idiom,1.0,1.0,NN,5,2,PH,3.0,1.0,,
10536,踵事增华,idiom,1.0,1.0,PE,5,0,PH,3.0,1.0,,
10537,百二山河,idiom,1.0,1.0,PH,5,1,PE,7.0,1.0,,
10538,爱财如命,idiom,1.0,1.0,NN,5,2,,,,,
10539,按图索骥,idiom,1.0,1.0,NN,5,2,,,,,
10540,傲睨一世,idiom,1.0,1.0,NN,5,2,,,,,
10541,拔刀相助,idiom,1.0,1.0,PH,5,1,,,,,
10542,百步穿杨,idiom,1.0,1.0,PH,5,1,,,,,
10543,百废俱兴,idiom,1.0,1.0,PH,5,1,,,,,
10544,百思不解,idiom,1.0,1.0,NE,5,2,,,,,
10545,抱薪救火,idiom,1.0,1.0,NN,5,2,,,,,
10546,笨手笨脚,idiom,1.0,1.0,NN,5,2,,,,,
10547,鄙俚浅陋,idiom,1.0,1.0,NN,5,2,,,,,
10548,博学多闻,idiom,1.0,1.0,PH,5,1,,,,,
10549,补偏救弊,idiom,1.0,1.0,PH,5,1,,,,,
10550,不耻下问,idiom,1.0,1.0,PH,5,1,,,,,
10551,不法常可,idiom,1.0,1.0,PH,5,1,,,,,
10552,不丰不杀,idiom,1.0,1.0,PH,5,1,,,,,
10553,不拘一格,idiom,1.0,1.0,PH,5,1,,,,,
10554,不可挽回,idiom,1.0,1.0,NB,5,2,,,,,
10555,朝歌暮宴,idiom,1.0,1.0,NN,5,2,,,,,
10556,陈规陋习,idiom,1.0,1.0,NN,5,2,,,,,
10557,称王称霸,idiom,1.0,1.0,ND,5,2,,,,,
10558,成人之美,idiom,1.0,1.0,PH,5,1,,,,,
10559,吃寡醋,idiom,1.0,1.0,NK,5,2,,,,,
10560,赤诚相待,idiom,1.0,1.0,PH,5,1,,,,,
10561,出将入相,idiom,1.0,1.0,PH,5,1,,,,,
10562,出水芙蓉,idiom,1.0,1.0,PH,5,1,,,,,
10563,穿凿附会,idiom,1.0,1.0,NN,5,2,,,,,
10564,吹胡子瞪眼,idiom,1.0,1.0,NN,5,2,,,,,
10565,莼鲈之思,idiom,1.0,1.0,PF,5,0,,,,,
10566,绰绰有余,idiom,1.0,1.0,PA,5,1,,,,,
10568,聪明反被聪明误,idiom,1.0,1.0,NN,5,2,,,,,
10570,大辂椎轮,idiom,1.0,1.0,PH,5,1,,,,,
10571,大做文章,idiom,1.0,1.0,NN,5,2,,,,,
10572,呆头呆脑,idiom,1.0,1.0,NN,5,2,,,,,
10573,当机立断,idiom,1.0,1.0,PH,5,1,,,,,
10574,得意忘形,idiom,1.0,1.0,NN,5,2,,,,,
10575,得鱼忘筌,idiom,1.0,1.0,NN,5,2,,,,,
10576,灯红酒绿,idiom,1.0,1.0,NN,5,2,,,,,
10577,地灵人杰,idiom,1.0,1.0,PH,5,1,,,,,
10578,东扶西倒,idiom,1.0,1.0,NN,5,2,,,,,
10579,东山再起,idiom,1.0,1.0,PH,5,1,,,,,
10580,东施效颦,idiom,1.0,1.0,NN,5,2,,,,,
10581,洞若观火,idiom,1.0,1.0,PH,5,1,,,,,
10582,杜口裹足,idiom,1.0,1.0,NN,5,2,,,,,
10583,肚里泪下,idiom,1.0,1.0,NB,5,0,,,,,
10584,堕入爱河,idiom,1.0,1.0,PB,5,0,,,,,
10585,防微杜渐,idiom,1.0,1.0,PH,5,1,,,,,
10586,放诞风流,idiom,1.0,1.0,NN,5,2,,,,,
10588,奋发图强,idiom,1.0,1.0,PH,5,1,,,,,
10589,夫子自道,idiom,1.0,1.0,NN,5,2,,,,,
10590,负屈含冤,idiom,1.0,1.0,NB,5,0,,,,,
10591,附骥尾,idiom,1.0,1.0,NN,5,2,,,,,
10592,富国强兵,idiom,1.0,1.0,PH,5,1,,,,,
10593,覆雨翻云,idiom,1.0,1.0,NN,5,2,,,,,
10594,高才远识,idiom,1.0,1.0,PH,5,1,,,,,
10595,高视阔步,idiom,1.0,1.0,NN,5,2,,,,,
10596,高自标置,idiom,1.0,1.0,NN,5,2,,,,,
10597,告朔饩羊,idiom,1.0,1.0,NN,5,2,,,,,
10599,鼓盆之戚,idiom,1.0,1.0,NB,5,0,,,,,
10600,官运亨通,idiom,1.0,1.0,PE,5,1,,,,,
10601,归真反璞,idiom,1.0,1.0,PH,5,1,,,,,
10602,过甚其词,idiom,1.0,1.0,NN,5,2,,,,,
10604,海枯石烂,idiom,1.0,1.0,PH,5,1,,,,,
10605,汗马功劳,idiom,1.0,1.0,PH,5,1,,,,,
10606,好高骛远,idiom,1.0,1.0,NN,5,2,,,,,
10607,红装素裹,idiom,1.0,1.0,PB,5,1,,,,,
10608,侯服玉食,idiom,1.0,1.0,NN,5,2,,,,,
10609,后继有人,idiom,1.0,1.0,PE,5,0,,,,,
10610,呼昼作夜,idiom,1.0,1.0,NN,5,2,,,,,
10611,诲人不倦,idiom,1.0,1.0,PH,5,1,,,,,
10612,浑头浑脑,idiom,1.0,1.0,NN,5,2,,,,,
10613,火急火燎,idiom,1.0,1.0,NI,5,2,,,,,
10614,鸡鸣狗盗,idiom,1.0,1.0,NN,5,2,,,,,
10615,极乐世界,idiom,1.0,1.0,PA,5,1,,,,,
10617,己饥己溺,idiom,1.0,1.0,PH,5,1,,,,,
10618,家徒四壁,idiom,1.0,1.0,NB,5,0,,,,,
10619,坚强不屈,idiom,1.0,1.0,PH,5,1,,,,,
10620,煎水作冰,idiom,1.0,1.0,NN,5,2,,,,,
10621,绞尽脑汁,idiom,1.0,1.0,NE,5,0,,,,,
10622,叫苦连天,idiom,1.0,1.0,NB,5,0,,,,,
10623,节衣缩食,idiom,1.0,1.0,PH,5,1,,,,,
10624,金刚努目,idiom,1.0,1.0,NC,5,0,,,,,
10625,尽态极妍,idiom,1.0,1.0,PH,5,1,,,,,
10626,尽忠竭力,idiom,1.0,1.0,PH,5,1,,,,,
10627,近悦远来,idiom,1.0,1.0,PH,5,1,,,,,
10628,进退维谷,idiom,1.0,1.0,NE,5,0,,,,,
10629,敬老怜贫,idiom,1.0,1.0,PH,5,1,,,,,
10630,据为己有,idiom,1.0,1.0,NN,5,2,,,,,
10631,倔头倔脑,idiom,1.0,1.0,NN,5,2,,,,,
10632,开诚布公,idiom,1.0,1.0,PH,5,1,,,,,
10634,宽宏海量,idiom,1.0,1.0,PH,5,1,,,,,
10635,劳燕分飞,idiom,1.0,1.0,NB,5,0,,,,,
10636,老羞成怒,idiom,1.0,1.0,,5,0,,,,,
10637,老子婆娑,idiom,1.0,1.0,PH,5,1,,,,,
10638,乐善好施,idiom,1.0,1.0,PH,5,1,,,,,
10641,量力度德,idiom,1.0,1.0,PH,5,1,,,,,
10642,淋漓尽致,idiom,1.0,1.0,PH,5,1,,,,,
10643,令人信服,idiom,1.0,1.0,PG,5,1,,,,,
10644,溜之大吉,idiom,1.0,1.0,NN,5,2,,,,,
10645,笼络人心,idiom,1.0,1.0,NN,5,2,,,,,
10646,马仰人翻,idiom,1.0,1.0,NI,5,2,,,,,
10647,蚂蚁缘槐,idiom,1.0,1.0,NN,5,2,,,,,
10648,瞒天过海,idiom,1.0,1.0,NN,5,2,,,,,
10650,毛头毛脑,idiom,1.0,1.0,NN,5,2,,,,,
10651,迷迷糊糊,idiom,1.0,1.0,NE,5,0,,,,,
10652,面有喜色,idiom,1.0,1.0,PA,5,0,,,,,
10653,苗而不秀,idiom,1.0,1.0,NN,5,2,,,,,
10654,名不副实,idiom,1.0,1.0,NN,5,2,,,,,
10655,墨守陈规,idiom,1.0,1.0,NN,5,2,,,,,
10656,目无余子,idiom,1.0,1.0,NN,5,2,,,,,
10657,纳谏如流,idiom,1.0,1.0,PH,5,1,,,,,
10658,能工巧匠,idiom,1.0,1.0,PH,5,1,,,,,
10659,排山倒海,idiom,1.0,1.0,PH,5,1,,,,,
10660,披坚执锐,idiom,1.0,1.0,PH,5,1,,,,,
10661,平铺直序,idiom,1.0,1.0,NN,5,2,,,,,
10662,迫不及待,idiom,1.0,1.0,PK,5,0,,,,,
10663,剖心析肝,idiom,1.0,1.0,PH,5,1,,,,,
10664,普渡众生,idiom,1.0,1.0,PH,5,1,,,,,
10665,千载难逢,idiom,1.0,1.0,PC,5,0,,,,,
10666,前怕狼后怕虎,idiom,1.0,1.0,NC,5,2,,,,,
10668,勤俭持家,idiom,1.0,1.0,PH,5,1,,,,,
10669,勤能补拙,idiom,1.0,1.0,PH,5,1,,,,,
10670,青出于蓝,idiom,1.0,1.0,PH,5,1,,,,,
10671,情意恳挚,idiom,1.0,1.0,PH,5,1,,,,,
10672,屈打成招,idiom,1.0,1.0,NN,5,2,,,,,
10673,饶有风趣,idiom,1.0,1.0,PH,5,1,,,,,
10674,人头畜鸣,idiom,1.0,1.0,ND,5,2,,,,,
10675,日月入怀,idiom,1.0,1.0,PH,5,1,,,,,
10676,肉食者鄙,idiom,1.0,1.0,NN,5,2,,,,,
10677,如箭在弦,idiom,1.0,1.0,NI,5,0,,,,,
10678,如泣如诉,idiom,1.0,1.0,NB,5,0,,,,,
10679,入不敷出,idiom,1.0,1.0,NE,5,0,,,,,
10680,三六九等,idiom,1.0,1.0,NN,5,0,,,,,
10681,山摇地动,idiom,1.0,1.0,NC,5,0,,,,,
10682,山珍海错,idiom,1.0,1.0,PH,5,1,,,,,
10685,声誉鹊起,idiom,1.0,1.0,PH,5,1,,,,,
10686,时和年丰,idiom,1.0,1.0,PH,5,1,,,,,
10687,食言而肥,idiom,1.0,1.0,NN,5,2,,,,,
10688,势如冰炭,idiom,1.0,1.0,ND,5,2,,,,,
10689,恃才傲物,idiom,1.0,1.0,NN,5,2,,,,,
10690,随波逐流,idiom,1.0,1.0,NN,5,2,,,,,
10691,他乡遇故知,idiom,1.0,1.0,PA,5,1,,,,,
10692,天崩地坼,idiom,1.0,1.0,NC,5,2,,,,,
10693,铜墙铁壁,idiom,1.0,1.0,PH,5,1,,,,,
10694,痛改前非,idiom,1.0,1.0,PH,5,1,,,,,
10695,偷工减料,idiom,1.0,1.0,NN,5,2,,,,,
10696,偷天换日,idiom,1.0,1.0,NN,5,2,,,,,
10697,投鞭断流,idiom,1.0,1.0,PH,5,1,,,,,
10698,徒劳往返,idiom,1.0,1.0,NN,5,2,,,,,
10699,兔丝燕麦,idiom,1.0,1.0,NN,5,2,,,,,
10700,望风而走,idiom,1.0,1.0,NN,5,2,,,,,
10702,微文深诋,idiom,1.0,1.0,NN,5,2,,,,,
10703,温文尔雅,idiom,1.0,1.0,PH,5,1,,,,,
10704,文恬武嬉,idiom,1.0,1.0,NN,5,2,,,,,
10705,蜗名微利,idiom,1.0,1.0,NN,5,2,,,,,
10706,无能之辈,idiom,1.0,1.0,NN,5,2,,,,,
10707,无事生非,idiom,1.0,1.0,NN,5,2,,,,,
10708,息息相通,idiom,1.0,1.0,PB,5,1,,,,,
10709,先见之明,idiom,1.0,1.0,PH,5,1,,,,,
10710,挟冰求温,idiom,1.0,1.0,NN,5,2,,,,,
10711,心安理得,idiom,1.0,1.0,PE,5,1,,,,,
10712,徇情枉法,idiom,1.0,1.0,NN,5,2,,,,,
10714,雅量高致,idiom,1.0,1.0,PH,5,1,,,,,
10715,雅人深致,idiom,1.0,1.0,PH,5,1,,,,,
10716,言之凿凿,idiom,1.0,1.0,PH,5,1,,,,,
10718,野调无腔,idiom,1.0,1.0,NN,5,2,,,,,
10720,一见倾心,idiom,1.0,1.0,PB,5,0,,,,,
10721,衣香鬓影,idiom,1.0,1.0,PH,5,1,,,,,
10723,倚强凌弱,idiom,1.0,1.0,NN,5,2,,,,,
10724,因陋守旧,idiom,1.0,1.0,NN,5,2,,,,,
10725,因噎废食,idiom,1.0,1.0,NC,5,2,,,,,
10726,应对如流,idiom,1.0,1.0,PH,5,1,,,,,
